paper_name,paper_authors,source_name,keywords,pmc_technique,pmc_criteria,vms_technique,vms_criteria,vmp_technique,vmp_criteria,experiment_type,experiment_platform,scenario_pms,scenario_vms,scenario_dataset,used_metrics,improved_metrics,vms_amount,contribution,reference_number
A learning-based approach for virtual machine placement in cloud data centers,Mostafa Ghobaeiâ€Arani;Ali Rahmanian;Mahboubeh Shamsi;Abdolreza Rasouliâ€Kenari,International Journal of Communication Systems,cloud computing; energy consumption; learning automata; virtual machine placement; virtualization,Static Threshold + Dynamic Threshold + Prediction Model (LR + WMA),CPU,Minimum Migration Time (MMT) + Maximum Correlation (MC) + Maximum Requested Resources (MRR) + Minimum Downtime Migration (MDM),"CPU, RAM, Bandwidth",Heuristic (MBFD) + Prediction Model (EPA + LA),"CPU, Power Consumption",Simulation,CloudSim,"{
 ""Number of PMs"": -1,
 ""Number of PM Types"": 2,
 ""Distribution of PMs"": -1,
 ""Number of CPU Cores"": [2],
 ""Frequency of CPU (in MIPS)"": [1860, 2660],
 ""Amount of RAM (in GB)"": [4.096],
 ""Amount of Storage (in GB)"": [1],
 ""Amount of Bandwidth (in Gbps)"": [1]
 }","{
 ""Number of VMs"": [1052, 898, 1061, 1516, 1078, 1463, 1358, 1233, 1054, 1033],
 ""Number of VM Types"": 4,
 ""Distribution of VMs"": -1,
 ""Number of CPU Cores"": [1],
 ""Frequency of CPU (in MIPS)"": [500, 1000, 2000, 2500],
 ""Amount of RAM (in MB)"": [870, 1740, 613],
 ""Amount of Storage (in GB)"": [2.5],
 ""Amount of Bandwidth (in Mbps)"": [100]
 }",Not available,"Energy Consumption,Number of PM Shutdowns,Number of VM Migrations,Performance Degradation due to Migration (PDM),SLA Violation (SLAV),SLA Violation Time per Active Host (SLATAH)","Energy Consumption,SLA Violation (SLAV)",VMs are selected individually,VMP,33
Power and resource-aware virtual machine placement for IaaS cloud,Madnesh Gupta; Ankit Jain; Tarachand Amgoth.,Sustainable Computing: Informatics and Systems,IaaS cloud; Virtualization; VM placement; Power consumption; Resource utilization; SLA violations,Static Threshold,"CPU, RAM",Not Available,Not Available,Heuristic (BFD),Resource Usage Factor,Simulation,MATLAB,"{
 ""Number of PMs"": -1,
 ""Number of PM Types"": 2,
 ""Distribution of PMs"": -1,
 ""Number of CPU Cores"": -1,
 ""Frequency of CPU (in MIPS)"": [3720, 5320],
 ""Amount of RAM (in GB)"": [4],
 ""Amount of Storage (in GB)"": -1,
 ""Amount of Bandwidth (in Gbps)"": -1
 }","{
 ""Number of VMs"": [200, 400, 600, 800, 1000],
 ""Number of VM Types"": 4,
 ""Distribution of VMs"": -1,
 ""Number of CPU Cores"": -1,
 ""Frequency of CPU (in MIPS)"": [500, 1000, 5320, 2500],
 ""Amount of RAM (in MB)"": [613, 1740, 3480, 870],
 ""Amount of Storage (in GB)"": -1,
 ""Amount of Bandwidth (in Mbps)"": -1
 }",Synthetical,"Data Transfer,Energy Consumption,Energy Efficiency,Energy-SLA Violation (ESV),Number of Active PMs,Number of VM Migrations,Performance Degradation due to Migration (PDM),Power consumption and SLAV ans number of VM migrations count (PSM),Resource Utilization,Resource Wastage,SLA Violation (SLAV)","Data Transfer,Energy Consumption,Energy-SLAV-Migration,Number of Active PMs,Number of VM Migrations,Power consumption and SLAV ans number of VM migrations count (PSM),Resource Utilization,Resource Wastage",Not Available,VMP,34
An Energy-Efficient Dynamic Resource Management Approach Based on Clustering and Meta-Heuristic Algorithms in Cloud Computing IaaS Platforms,Maryam Haghighi; Mehrdad Maeen; Majid Haghparast,Wireless Personal Communications,Dynamic virtual machine consolidation; Green cloud computing; k-means clustering; Micro-genetic algorithm; Resource management,Dynamic Threshold,CPU,Minimum Migration Time (MMT) + Random Selection (RS),"RAM, Bandwidth",Metaheuristic (ÂµGA),Power Consumption,Simulation,CloudSim,"{
 ""Number of PMs"": [800],
 ""Number of PM Types"": 2,
 ""Distribution of PMs"": ""Available"",
 ""Number of CPU Cores"": -1,
 ""Frequency of CPU (in MIPS)"": [1860, 2660],
 ""Amount of RAM (in GB)"": -1,
 ""Amount of Storage (in GB)"": -1,
 ""Amount of Bandwidth (in Gbps)"": [1]
 }","{
 ""Number of VMs"": [1175],
 ""Number of VM Types"": 4,
 ""Distribution of VMs"": -1,
 ""Number of CPU Cores"": -1,
 ""Frequency of CPU (in MIPS)"": [500, 1000, 2000, 2500],
 ""Amount of RAM (in MB)"": [850, 1700, 3750, 613],
 ""Amount of Storage (in GB)"": -1,
 ""Amount of Bandwidth (in Mbps)"": -1
 }",Synthetical,"Energy Consumption,Makespan,Number of VM Migrations,Overall SLA Violation","Energy Consumption,Makespan,Number of VM Migrations",VMs are selected individually,VMP,35
Resource-utilization-aware energy efficient server consolidation algorithm for green computing in IIOT,"Guangjie Han, Wenhui Que, Gangyong Jia, Wenbo Zhang",Journal of Network and Computer Applications,Industrial Internet of Things (IIOT); Resource-utilization-aware; Energy efficient; Server consolidation,Static Threshold + Prediction Model (LR),"CPU, RAM",Minimum Migration Time (MMT),"RAM, Bandwidth",Heuristic (PABFD),"CPU, Power Consumption, Load Balance",Simulation,CloudSim,"{
 ""Number of PMs"": [800],
 ""Number of PM Types"": 2,
 ""Distribution of PMs"": ""Available"",
 ""Number of CPU Cores"": [2],
 ""Frequency of CPU (in MIPS)"": [1860, 2660],
 ""Amount of RAM (in GB)"": [4],
 ""Amount of Storage (in GB)"": -1,
 ""Amount of Bandwidth (in Gbps)"": -1
 }","{
 ""Number of VMs"": -1,
 ""Number of VM Types"": 4,
 ""Distribution of VMs"": -1,
 ""Number of CPU Cores"": -1,
 ""Frequency of CPU (in MIPS)"": [500, 1000, 2000, 2500],
 ""Amount of RAM (in MB)"": [613, 1740, 870],
 ""Amount of Storage (in GB)"": -1,
 ""Amount of Bandwidth (in Mbps)"": -1
 }",Google Cluster Data,"Energy Consumption,Energy-SLA Violation (ESV),Number of VM Migrations,Performance Degradation due to Migration (PDM),SLA Violation (SLAV),SLA Violation Time per Active Host (SLATAH)","Energy Consumption,Energy-SLA Violation (ESV)",VMs are selected individually,PMC + VMP,38
"Hierarchical, Portfolio Theory-Based Virtual Machine Consolidation in a Compute Cloud",Inkwon Hwang; Massoud Pedram,IEEE Transactions on Services Computing,Cloud computing; portfolio effect; multi-capacity bin packing; resource allocation; stochastic; virtual machine,Static Threshold,Not Available,Not Available,Not Available,Heuristic (ARDFFD + MNVDBFD),Not Available,Simulation,Not available,"{
 ""Number of PMs"": -1,
 ""Number of PM Types"": -1,
 ""Distribution of PMs"": -1,
 ""Number of CPU Cores"": -1,
 ""Frequency of CPU (in MIPS)"": -1,
 ""Amount of RAM (in GB)"": -1,
 ""Amount of Storage (in GB)"": -1,
 ""Amount of Bandwidth (in Gbps)"": -1
 }","{
 ""Number of VMs"": [500, 1000, 1500, 2000, 3000, 4000, 5000, 6000, 7000, 8000, 9000],
 ""Number of VM Types"": -1,
 ""Distribution of VMs"": -1,
 ""Number of CPU Cores"": -1,
 ""Frequency of CPU (in MIPS)"": -1,
 ""Amount of RAM (in MB)"": -1,
 ""Amount of Storage (in GB)"": -1,
 ""Amount of Bandwidth (in Mbps)"": -1
 }",Synthetical,"Execution Time,Number of VM Migrations,Overall Cost","Number of VM Migrations,Overall Cost",Not Available,VMP,40
Multi-objective Energy Efficient Resource Allocation Using Virus Colony Search (VCS) Algorithm,Kudamaduwage Jayasena; Lin Li; Mohamed Elaziz; Shengwu Xiong,2018 IEEE 20th International Conference on High Performance Computing and Communications; IEEE 16th International Conference on Smart City; IEEE 4th International Conference on Data Science and Systems (HPCC/SmartCity/DSS),Energy consumption; MOVCS; Multi-objective optimization; SLAV; VMM; VMP,Not Available,Not Available,Not Available,Not Available,Metaheuristic (VCS),"CPU, Power Consumption, RAM, Bandwidth, SLA Violations, Number of Migrations",Simulation,CloudSim,"{
 ""Number of PMs"": [25, 75, 100, 800],
 ""Number of PM Types"": 5,
 ""Distribution of PMs"": ""Available"",
 ""Number of CPU Cores"": -1,
 ""Frequency of CPU (in MIPS)"": -1,
 ""Amount of RAM (in GB)"": -1,
 ""Amount of Storage (in GB)"": -1,
 ""Amount of Bandwidth (in Gbps)"": -1
 }","{
 ""Number of VMs"": [50, 100, 150, 200],
 ""Number of VM Types"": 2,
 ""Distribution of VMs"": -1,
 ""Number of CPU Cores"": [1],
 ""Frequency of CPU (in MIPS)"": [2500, 100],
 ""Amount of RAM (in MB)"": [870, 1740],
 ""Amount of Storage (in GB)"": -1,
 ""Amount of Bandwidth (in Mbps)"": [100, 200]
 }",Planet Lab,"Energy Consumption,Hypervolume,Inverted Generational Distance,Number of VM Migrations,Performance Degradation due to Migration (PDM),SLA Violation (SLAV),SLA Violation Time per Active Host (SLATAH),Spread","Energy Consumption,Number of VM Migrations,SLA Violation (SLAV)",Not Available,VMP,41
Optimizing the Energy Efficient VM Consolidation by a Multi-Objective Algorithm,Kudamaduwage Jayasena; Lin Li; Mohamed Elaziz; Shengwu Xiong; Jianwen Xiang,2018 IEEE 22nd International Conference on Computer Supported Cooperative Work in Design ((CSCWD)),Multi-objective optimization; VMC; MOSCA; Energy consumption; SLAV,Not Available,Not Available,Not Available,Not Available,Metaheuristic (MOSCA),"CPU, Power Consumption, RAM, HDD, SLA Violations, Mean Time Between Host Shutdown",Simulation,CloudSim,"{
 ""Number of PMs"": [25, 75, 100, 800],
 ""Number of PM Types"": 5,
 ""Distribution of PMs"": ""Available"",
 ""Number of CPU Cores"": -1,
 ""Frequency of CPU (in MIPS)"": -1,
 ""Amount of RAM (in GB)"": -1,
 ""Amount of Storage (in GB)"": -1,
 ""Amount of Bandwidth (in Gbps)"": -1
 }","{
 ""Number of VMs"": [50, 100, 150, 200],
 ""Number of VM Types"": 2,
 ""Distribution of VMs"": -1,
 ""Number of CPU Cores"": [1],
 ""Frequency of CPU (in MIPS)"": [2500, 100],
 ""Amount of RAM (in MB)"": [870, 1740],
 ""Amount of Storage (in GB)"": -1,
 ""Amount of Bandwidth (in Mbps)"": [100, 200]
 }",Planet Lab,"Energy Consumption,Epsilon (EPS),Generational Distance,Hypervolume,Inverted Generational Distance,Mean Time Before PM Shutdown,Performance Degradation due to Migration (PDM),SLA Violation (SLAV),SLA Violation Time per Active Host (SLATAH)","Energy Consumption,Mean Time Before PM Shutdown,SLA Violation (SLAV)",Not Available,VMP,42
An energy-efficient VM placement method for cloud data centers using a hybrid genetic algorithm,Mohamed Kaaouache; Sadok Bouamama,Journal of Systems and Information Technology,Energy; Cloud computing; Hybrid genetic algorithm; Server consolidation; Virtual machine placement,Static Threshold,Not Available,Not Available,Not Available,Metaheuristic (GA) + Heuristic (BFD),"CPU, Power Consumption, RAM",Simulation,CloudSim,"{
 ""Number of PMs"": [200, 300, 500, 600, 700, 800, 900, 1052],
 ""Number of PM Types"": -1,
 ""Distribution of PMs"": -1,
 ""Number of CPU Cores"": -1,
 ""Frequency of CPU (in MIPS)"": -1,
 ""Amount of RAM (in GB)"": -1,
 ""Amount of Storage (in GB)"": -1,
 ""Amount of Bandwidth (in Gbps)"": -1
 }","{
 ""Number of VMs"": [100, 200, 300, 400, 500, 600, 700, 800],
 ""Number of VM Types"": -1,
 ""Distribution of VMs"": -1,
 ""Number of CPU Cores"": -1,
 ""Frequency of CPU (in MIPS)"": [2000, 3500],
 ""Amount of RAM (in MB)"": [128, 4096],
 ""Amount of Storage (in GB)"": -1,
 ""Amount of Bandwidth (in Mbps)"": [100, 500]
 }",Planet Lab,"Energy Consumption,Execution Time,Number of VM Migrations,Performance Degradation due to Migration (PDM),SLA Violation (SLAV),SLA Violation Time per Active Host (SLATAH)",Energy Consumption,Not Available,VMP,44
Energy Aware Resource Allocation for Clouds Using Two Level Ant Colony Optimization,Ashok Kumar; Rajesh Kumar; Anju Sharma,COMPUTING AND INFORMATICS,Energy efficiency; resource allocation in cloud; dynamic voltage frequency scaling; ant colony optimization; quality of service,Static Threshold,"CPU, RAM, Bandwidth",Not Available,Not Available,Metaheuristic (ACO),"Power Consumption, Execution Time, Cost of Execution",Simulation,CloudSim,"{
 ""Number of PMs"": -1,
 ""Number of PM Types"": 5,
 ""Distribution of PMs"": -1,
 ""Number of CPU Cores"": [4, 8, 12, 20, 36],
 ""Frequency of CPU (in MIPS)"": [1000, 1500, 2000, 3000, 5000],
 ""Amount of RAM (in GB)"": [8, 16, 32, 64],
 ""Amount of Storage (in GB)"": [2000, 4000],
 ""Amount of Bandwidth (in Gbps)"": [10]
 }","{
 ""Number of VMs"": [200, 400, 600, 800, 1000, 1200],
 ""Number of VM Types"": 4,
 ""Distribution of VMs"": -1,
 ""Number of CPU Cores"": [1, 2, 4, 8],
 ""Frequency of CPU (in MIPS)"": [500, 1000, 2000, 4000],
 ""Amount of RAM (in MB)"": [512, 1024, 2048, 4096],
 ""Amount of Storage (in GB)"": -1,
 ""Amount of Bandwidth (in Mbps)"": [1000, 2000, 4000, 8000]
 }",Synthetical,"Computational Energy,Energy Consumption,Load Balancing,Number of Active PMs,Number of Hot Spots,Number of VM Migrations,Resource Utilization","Computational Energy,Energy Consumption,Load Balancing,Number of Active PMs,Number of Hot Spots,Resource Utilization",Not Available,VMP,47
EQUAL: ENERGY AND QOS AWARE RESOURCE ALLOCATION APPROACH FOR CLOUDS,Ashok Kumar; Rajesh Kumar; Anju Sharma,COMPUTING AND INFORMATICS,Energy efficiency; resource utilization; resource allocation; antlion optimization; quality of service,Static Threshold + Dynamic Threshold,CPU,Not Available,Not Available,Metaheuristic (ALO),"CPU, Power Consumption",Simulation,CloudSim,"{
 ""Number of PMs"": [200],
 ""Number of PM Types"": 4,
 ""Distribution of PMs"": ""Available"",
 ""Number of CPU Cores"": [4, 12],
 ""Frequency of CPU (in MIPS)"": [2933, 3067],
 ""Amount of RAM (in GB)"": [8, 12, 16],
 ""Amount of Storage (in GB)"": [500],
 ""Amount of Bandwidth (in Gbps)"": [10]
 }","{
 ""Number of VMs"": [200, 400, 600, 800, 1000],
 ""Number of VM Types"": 4,
 ""Distribution of VMs"": -1,
 ""Number of CPU Cores"": [1, 2, 4],
 ""Frequency of CPU (in MIPS)"": [500, 1000, 1500, 2000],
 ""Amount of RAM (in MB)"": [768, 1792, 3584, 7168],
 ""Amount of Storage (in GB)"": -1,
 ""Amount of Bandwidth (in Mbps)"": [1000]
 }",Synthetical,"Deadlines Missed,Energy Consumption,Execution Time,Number of Active PMs,Number of Cold Spots,Number of Hot Spots,Number of VM Migrations","Deadlines Missed,Energy Consumption,Number of Active PMs,Number of Cold Spots,Number of Hot Spots,Number of VM Migrations",Not Available,VMP,48
Energy-performance optimisation for the dynamic consolidation of virtual machines in cloud computing,H. Li; T. Li; Z. Shuhua,International Journal of Services Operations and Informatics,energy and performance optimisation; grey correlation degree; self-adaptive thresholds; VM allocation; VM consolidation,Dynamic Threshold,CPU,Minimum Migration Time (MMT),"RAM, Bandwidth",Heuristic (GCD),"CPU, Power Consumption, MIPS, RAM",Simulation,CloudSim,"{
 ""Number of PMs"": [800],
 ""Number of PM Types"": 2,
 ""Distribution of PMs"": -1,
 ""Number of CPU Cores"": [2],
 ""Frequency of CPU (in MIPS)"": [1860, 2660],
 ""Amount of RAM (in GB)"": [4],
 ""Amount of Storage (in GB)"": -1,
 ""Amount of Bandwidth (in Gbps)"": [1]
 }","{
 ""Number of VMs"": [898, 1054, 1061, 1358, 1516],
 ""Number of VM Types"": 4,
 ""Distribution of VMs"": -1,
 ""Number of CPU Cores"": [1],
 ""Frequency of CPU (in MIPS)"": [500, 1000, 2000, 2500],
 ""Amount of RAM (in MB)"": [870, 40, 1740, 613],
 ""Amount of Storage (in GB)"": [2.5],
 ""Amount of Bandwidth (in Mbps)"": [100]
 }",Planet Lab,"Energy Consumption,Energy-SLA Violation (ESV),Energy-SLAV-Migration,Execution Time,Number of VM Migrations,Performance Degradation due to Migration (PDM),SLA Violation (SLAV),SLA Violation Time per Active Host (SLATAH)","Energy-SLA Violation (ESV),Energy-SLAV-Migration,Execution Time,Number of VM Migrations,SLA Violation (SLAV)",VMs are selected individually,PMC+VMP,49
SLA-Aware and Energy-Efficient VM Consolidation in Cloud Data Centers Using Robust Linear Regression Prediction Model,Lianpeng Li; Jian Dong; Decheng Zuo; Jin Wu,IEEE Access,VM consolidation; linear regression; SLA-aware; energy-efficient; cloud data centers,Dynamic Threshold + Prediction Model (RSLinR),CPU,Minimum Migration Time (MMT),"RAM, Bandwidth",Heuristic (RPABFD) + Prediction Model (RSLR),"CPU, Power Consumption",Simulation,CloudSim,"{
 ""Number of PMs"": [800],
 ""Number of PM Types"": 2,
 ""Distribution of PMs"": ""Available"",
 ""Number of CPU Cores"": [2],
 ""Frequency of CPU (in MIPS)"": [1860, 2660],
 ""Amount of RAM (in GB)"": [4],
 ""Amount of Storage (in GB)"": -1,
 ""Amount of Bandwidth (in Gbps)"": -1
 }","{
 ""Number of VMs"": [50, 1052, 1516, 1033],
 ""Number of VM Types"": 4,
 ""Distribution of VMs"": -1,
 ""Number of CPU Cores"": [1],
 ""Frequency of CPU (in MIPS)"": [500, 1000, 2000, 2500],
 ""Amount of RAM (in MB)"": [850, 1700, 610],
 ""Amount of Storage (in GB)"": -1,
 ""Amount of Bandwidth (in Mbps)"": -1
 }",Synthetical + Planet Lab,"Average SLA Violation,Energy Consumption,Number of PM Shutdowns,Number of VM Migrations,Overall SLA Violation,Performance Degradation due to Migration (PDM),SLA Violation (SLAV),SLA Violation Time per Active Host (SLATAH)","Energy Consumption,Number of VM Migrations,SLA Violation (SLAV)",VMs are selected individually,PMC + VMP,50
Holistic Virtual Machine Scheduling in Cloud Datacenters towards Minimizing Total Energy,Xiang Li; Peter Garraghan; Xiaohong Jiang; Zhaohui Wu; Jie Xu,IEEE Transactions on Parallel and Distributed Systems,Cloud computing; energy efficiency; datacenter modeling ; workload scheduling; virtual machine,Dynamic Threshold,Temperature,Minimum CPU Utilization (MCU),CPU,Heuristic (BFD),Power Consumption,Simulation,CloudSim,"{
 ""Number of PMs"": [360],
 ""Number of PM Types"": 2,
 ""Distribution of PMs"": ""Available"",
 ""Number of CPU Cores"": [2, 8],
 ""Frequency of CPU (in MIPS)"": [1860, 2660],
 ""Amount of RAM (in GB)"": -1,
 ""Amount of Storage (in GB)"": -1,
 ""Amount of Bandwidth (in Gbps)"": -1
 }","{
 ""Number of VMs"": [32000, 64000],
 ""Number of VM Types"": 4,
 ""Distribution of VMs"": -1,
 ""Number of CPU Cores"": [1, 2 ,4],
 ""Frequency of CPU (in MIPS)"": [500, 1000, 2000, 2500],
 ""Amount of RAM (in MB)"": -1,
 ""Amount of Storage (in GB)"": -1,
 ""Amount of Bandwidth (in Mbps)"": -1
 }",Google Cluster Data,"CPU Temperature,CPU Thermal SLA,Energy Consumption,Number of Active PMs,Overall SLA Violation","CPU Temperature,CPU Thermal SLA,Energy Consumption",VMs are selected individually,VMS + VMP,51
An adaptive overload threshold selection process using Markov decision processes of virtual machine in cloud data center,Zhihua Li,Cluster Computing,Host overload detection; Markov decision processes; Overload threshold; Optimization model; Value iteration method,Dynamic Threshold,"CPU, RAM",Minimum Migration Time (MMT),"RAM, Bandwidth",Heuristic (PABFD),CPU,Simulation,CloudSim,"{
 ""Number of PMs"": [800],
 ""Number of PM Types"": 2,
 ""Distribution of PMs"": -1,
 ""Number of CPU Cores"": [2],
 ""Frequency of CPU (in MIPS)"": [1860, 2260],
 ""Amount of RAM (in GB)"": [4],
 ""Amount of Storage (in GB)"": -1,
 ""Amount of Bandwidth (in Gbps)"": -1
 }","{
 ""Number of VMs"": [1052, 898, 1061, 1516, 1078, 1463, 1358, 1233, 1054, 1033],
 ""Number of VM Types"": 4,
 ""Distribution of VMs"": -1,
 ""Number of CPU Cores"": -1,
 ""Frequency of CPU (in MIPS)"": [500, 1000, 2000, 2500],
 ""Amount of RAM (in MB)"": [613, 1700, 3750, 850],
 ""Amount of Storage (in GB)"": -1,
 ""Amount of Bandwidth (in Mbps)"": -1
 }",Planet Lab,"Energy Consumption,Energy-SLA Violation (ESV),Number of VM Migrations,Performance Degradation due to Migration (PDM),SLA Violation (SLAV),SLA Violation Time per Active Host (SLATAH)","Energy-SLA Violation (ESV),Number of VM Migrations,SLA Violation (SLAV)",VMs are selected individually,PMC,52
Energy-aware and multi-resource overload probability constraint-based virtual machine dynamic consolidation method,Zhihua Li; Chengyu Yan; Lei Yu; Xinrong Yu,Future Generation Computer Systems,Virtual machine consolidation; Multi-resource constraints; Optimization model; Artificial bee colony-like search; Energy aware,Prediction Model,"CPU, RAM, Bandwidth",Minimum Migration Time (MMT),"RAM, Bandwidth",Metaheuristic (ABC),Resource Overload Probability,Simulation,CloudSim,"{
 ""Number of PMs"": [800],
 ""Number of PM Types"": 2,
 ""Distribution of PMs"": -1,
 ""Number of CPU Cores"": [36, 40],
 ""Frequency of CPU (in MIPS)"": [2300, 2200],
 ""Amount of RAM (in GB)"": [64],
 ""Amount of Storage (in GB)"": -1,
 ""Amount of Bandwidth (in Gbps)"": -1
 }","{
 ""Number of VMs"": [1052, 898, 1061, 1516, 1078, 1463, 1358, 1233, 1054, 1033, 1237, 1233, 1232, 1209, 1202, 1191, 1188, 1186, 1183, 1175],
 ""Number of VM Types"": 8,
 ""Distribution of VMs"": -1,
 ""Number of CPU Cores"": [1, 2, 4, 8],
 ""Frequency of CPU (in MIPS)"": [500, 1000, 2000, 2500],
 ""Amount of RAM (in MB)"": [850, 3750, 1700, 613, 7500, 1500, 3000],
 ""Amount of Storage (in GB)"": -1,
 ""Amount of Bandwidth (in Mbps)"": -1
 }",Planet Lab + Bitbrains,"Bandwidth Demand Violations (BDV),Energy Consumption,Energy-SLA Violation (ESV),Memory Demand Violations (MDV),Performance Degradation due to Migration (PDM),SLA Violation (SLAV),SLA Violation Time per Active Host (SLATAH)","Bandwidth Demand Violations (BDV),Energy Consumption,Energy-SLA Violation (ESV),Memory Demand Violations (MDV),Number of VM Migrations,SLA Violation (SLAV),SLA Violation Time per Active Host (SLATAH)",VMs are selected individually,PMC + VMP,53
Research on Virtual Machine Migration Algorithm for Cloud Data Center,Ying Liu; Junjie Gao; Yu Yao,"2017 International Conference on Computer Systems, Electronics and Control (ICCSEC)",cloud computing; virtualization; cloud data center; virtual machine migration,Dynamic Threshold,"CPU, RAM, Bandwidth",Not Available,Not Available,Heuristic (MD),"CPU, Bandwidth, RAM",Simulation,CloudSim,"{
 ""Number of PMs"": [100],
 ""Number of PM Types"": 2,
 ""Distribution of PMs"": -1,
 ""Number of CPU Cores"": [2],
 ""Frequency of CPU (in MIPS)"": [1860, 2660],
 ""Amount of RAM (in GB)"": [4],
 ""Amount of Storage (in GB)"": [1000],
 ""Amount of Bandwidth (in Gbps)"": [1]
 }","{
 ""Number of VMs"": [100],
 ""Number of VM Types"": 4,
 ""Distribution of VMs"": -1,
 ""Number of CPU Cores"": [1],
 ""Frequency of CPU (in MIPS)"": [500, 1000, 2000, 2500],
 ""Amount of RAM (in MB)"": [1000, 512, 256, 128],
 ""Amount of Storage (in GB)"": -1,
 ""Amount of Bandwidth (in Mbps)"": [100]
 }",Not available,"Energy Consumption,Number of PM Shutdowns,Number of VM Migrations,Performance Degradation due to Migration (PDM),SLA Violation (SLAV),SLA Violation Time per Active Host (SLATAH)","Energy Consumption,Number of PM Shutdowns,Number of VM Migrations",Not Available,PMC + VMP,54
