paper_name,paper_authors,source_name,keywords,pmc_technique,pmc_criteria,vms_technique,vms_criteria,vmp_technique,vmp_criteria,experiment_type,experiment_platform,scenario_pms,scenario_vms,scenario_dataset,used_metrics,improved_metrics,vms_amount,contribution,reference_number
Enhancing Energy-Efficient and QoS Dynamic Virtual Machine Consolidation Method in Cloud Environment,Yaqiu Liu; Xinyue Sun; Wei Wei; Weipeng Jing,IEEE Access,Cloud computing; energy efficiency; quality of service; virtual machine migration,Dynamic Threshold + Prediction Model (ARIMA),CPU,Loss of CPU capacity (LoCC),CPU,Heuristic (DRBFD),CPU,Simulation,CloudSim,"{
 ""Number of PMs"": [800],
 ""Number of PM Types"": 2,
 ""Distribution of PMs"": ""Available"",
 ""Number of CPU Cores"": [2],
 ""Frequency of CPU (in MIPS)"": [1860, 2260],
 ""Amount of RAM (in GB)"": -1,
 ""Amount of Storage (in GB)"": -1,
 ""Amount of Bandwidth (in Gbps)"": -1
 }","{
 ""Number of VMs"": [1052, 898, 1061, 1516, 1078, 1463, 1358, 1233, 1054, 1033, 1171, 1169, 1156, 1151, 1141, 1143, 1131, 1130, 1123],
 ""Number of VM Types"": -1,
 ""Distribution of VMs"": -1,
 ""Number of CPU Cores"": -1,
 ""Frequency of CPU (in MIPS)"": [500, 1000, 2000, 2500],
 ""Amount of RAM (in MB)"": [613, 1700, 3750, 850],
 ""Amount of Storage (in GB)"": -1,
 ""Amount of Bandwidth (in Mbps)"": -1
 }",Planet Lab,"Energy Consumption,Energy-SLA Violation (ESV),Number of VM Migrations,Performance Degradation due to Migration (PDM),SLA Violation (SLAV),SLA Violation Time per Active Host (SLATAH)","Energy Consumption,Energy-SLA Violation (ESV),Number of VM Migrations,Performance Degradation due to Migration (PDM),SLA Violation (SLAV),SLA Violation Time per Active Host (SLATAH)",VMs are selected individually,PMC + VMS + VMP,55
Host Overloading Detection Based on EWMA Algorithm in Cloud Computing Environment,Jen-Hsiang Chen; Shin-Li Lu,2018 IEEE 15th International Conference on e-Business Engineering (ICEBE),Exponentially Weighted Moving Average; Service Level Agreement; VM migration,Prediction Model (EWMA),CPU,Not Available,Not Available,Not Available,Not Available,Simulation,CloudSim,"{
 ""Number of PMs"": [800],
 ""Number of PM Types"": 2,
 ""Distribution of PMs"": -1,
 ""Number of CPU Cores"": [2],
 ""Frequency of CPU (in MIPS)"": [1860, 2660],
 ""Amount of RAM (in GB)"": [4],
 ""Amount of Storage (in GB)"": -1,
 ""Amount of Bandwidth (in Gbps)"": -1
 }","{
 ""Number of VMs"": -1,
 ""Number of VM Types"": 5,
 ""Distribution of VMs"": -1,
 ""Number of CPU Cores"": [1],
 ""Frequency of CPU (in MIPS)"": [500, 1000, 2000, 2500, 3250],
 ""Amount of RAM (in MB)"": [633, 1700, 3750, 850, 8550],
 ""Amount of Storage (in GB)"": -1,
 ""Amount of Bandwidth (in Mbps)"": -1
 }",Planet Lab,"Energy Consumption,Energy-SLA Violation (ESV),Number of VM Migrations,Performance Degradation due to Migration (PDM),SLA Violation (SLAV),SLA Violation Time per Active Host (SLATAH)","Energy Consumption,Energy-SLA Violation (ESV),Number of VM Migrations,Performance Degradation due to Migration (PDM),SLA Violation (SLAV)",Not Available,PMC,56
An energy efficient and SLA compliant approach for resource allocation and consolidation in cloud computing environments,"Mohammad-Hossein Malekloo, Nadjia Kara; May El Barachi",Sustainable Computing: Informatics and Systems,Green cloud computing; Virtual machine placement; Virtual machine consolidation; Multi-objective optimization,Not Available,Not Available,Not Available,Not Available,Metaheuristic (ACO),"Power Consumption, SLA Violations, Number of Migrations",Simulation,CloudSim,"{
 ""Number of PMs"": [30, 50, 125, 250, 500, 700],
 ""Number of PM Types"": 4,
 ""Distribution of PMs"": -1,
 ""Number of CPU Cores"": [2],
 ""Frequency of CPU (in MIPS)"": [1000, 2000, 3000, 4000],
 ""Amount of RAM (in GB)"": [10],
 ""Amount of Storage (in GB)"": [1000],
 ""Amount of Bandwidth (in Gbps)"": [100]
 }","{
 ""Number of VMs"": [40, 80, 200, 400, 800, 1000],
 ""Number of VM Types"": 4,
 ""Distribution of VMs"": -1,
 ""Number of CPU Cores"": -1,
 ""Frequency of CPU (in MIPS)"": [250, 500, 750, 1000],
 ""Amount of RAM (in MB)"": [128],
 ""Amount of Storage (in GB)"": [1],
 ""Amount of Bandwidth (in Mbps)"": [2500]
 }",Synthetical,"Communication Cost Energy Consumption,Energy Consumption,Execution Time,Number of Active PMs,Number of SLA Violations,Number of VM Migrations,Resource Wastage","Communication Cost Energy Consumption,Energy Consumption,Execution Time,Number of SLA Violations,Number of VM Migrations,Resource Wastage,SLA Violation (SLAV)",Not Available,VMP,57
Migration and Cooling Aware Approach for Virtual Machine Spreading in Data Centers,Hardik Mandora; Divyesh Patel; Nilesh Dubey,2018 3rd International Conference for Convergence in Technology (I2CT),Cloud Computing; Virtualization; Virtual Machine; Service Level Agreement; GentleCool,Not Available,Not Available,Cooling Cost (CC) + Migration Cost (MiC),"Cooling Cost, Migration Cost",Heuristic (MGC),"Cooling Cost, Migration Cost",Simulation,CloudSim,"{
 ""Number of PMs"": [10, 20, 30, 50, 100, 200, 300],
 ""Number of PM Types"": 2,
 ""Distribution of PMs"": -1,
 ""Number of CPU Cores"": -1,
 ""Frequency of CPU (in MIPS)"": [1860, 2660],
 ""Amount of RAM (in GB)"": -1,
 ""Amount of Storage (in GB)"": -1,
 ""Amount of Bandwidth (in Gbps)"": [1]
 }","{
 ""Number of VMs"": [20, 40, 60, 100, 200, 400, 600],
 ""Number of VM Types"": 4,
 ""Distribution of VMs"": -1,
 ""Number of CPU Cores"": -1,
 ""Frequency of CPU (in MIPS)"": [2500, 2000, 1000, 500],
 ""Amount of RAM (in MB)"": [850, 3750, 1700, 613],
 ""Amount of Storage (in GB)"": -1,
 ""Amount of Bandwidth (in Mbps)"": -1
 }",Planet Lab,"Number of PM Shutdowns,Number of VM Migrations,Performance Degradation due to Migration (PDM),SLA Violation (SLAV),SLA Violation Time per Active Host (SLATAH)","Number of VM Migrations,Performance Degradation due to Migration (PDM),SLA Violation (SLAV),SLA Violation Time per Active Host (SLATAH)",VMs are selected individually,VMS + VMP,58
A Joint Power Efficient Server and Network Consolidation approach for virtualized data centers,Antonio Marotta; Stefano Avallone; Andreas Kassler,Computer Networks,Cloud; Virtualization; Power; Green computing; Simulated annealing,Not Available,CPU,Not Available,Not Available,Metaheuristic (SA),Power Consumption,Analytical,Not available,"{
 ""Number of PMs"": [400, 800, 1200, 1600, 2000, 2400, 2800, 3200, 3600],
 ""Number of PM Types"": -1,
 ""Distribution of PMs"": -1,
 ""Number of CPU Cores"": [4, 6, 8, 12, 16, 18, 20, 24, 32],
 ""Frequency of CPU (in MIPS)"": -1,
 ""Amount of RAM (in GB)"": [2, 4, 6, 8, 10, 12, 16, 20, 32],
 ""Amount of Storage (in GB)"": -1,
 ""Amount of Bandwidth (in Gbps)"": -1
 }","{
 ""Number of VMs"": [200, 400, 600, 800, 1000, 1200, 1400, 1600, 1800],
 ""Number of VM Types"": -1,
 ""Distribution of VMs"": -1,
 ""Number of CPU Cores"": [1, 2, 3, 4, 5, 6, 7, 8],
 ""Frequency of CPU (in MIPS)"": -1,
 ""Amount of RAM (in MB)"": [1000, 2000, 3000, 4000, 5000, 6000, 7000, 8000, 9000, 10000],
 ""Amount of Storage (in GB)"": -1,
 ""Amount of Bandwidth (in Mbps)"": -1
 }",Synthetical,"Energy Consumption,Energy Efficiency,Execution Time,Network Power Consumption,Number of Active PMs,Number of VM Migrations,Resource Wastage","Energy Efficiency,Execution Time,Network Power Consumption,Number of VM Migrations",Not Available,VMP,59
Energy-efficient virtual machine selection based on resource ranking and utilization factor approach in cloud computing for IoT,"Mahammad Shareef Mekala, P Viswanathan",Computers & Electrical Engineering,Cloud computing; Resource requirement rate; CRB Ranking; Processing element cost; Task categorization; VM Migration,Dynamic Threshold,"CPU, RAM, Energy Consumption",Comprehensive Resource Balance (CRB) + Processing Element Cost (PEC),"CPU, RAM, Bandwidth, Communication",Heuristic (SUM),CPU,Simulation,CloudSim,"{
 ""Number of PMs"": -1,
 ""Number of PM Types"": 5,
 ""Distribution of PMs"": -1,
 ""Number of CPU Cores"": [1, 2, 3, 4, 5],
 ""Frequency of CPU (in MIPS)"": [5000, 4500, 6000, 5500, 6500],
 ""Amount of RAM (in GB)"": [24],
 ""Amount of Storage (in GB)"": [50, 70, 80],
 ""Amount of Bandwidth (in Gbps)"": [100]
 }","{
 ""Number of VMs"": [20, 500],
 ""Number of VM Types"": 5,
 ""Distribution of VMs"": -1,
 ""Number of CPU Cores"": [1, 2, 3],
 ""Frequency of CPU (in MIPS)"": [5000, 4500, 6000, 5500, 6500],
 ""Amount of RAM (in MB)"": [512, 1024],
 ""Amount of Storage (in GB)"": [5, 7, 8],
 ""Amount of Bandwidth (in Mbps)"": [1000]
 }",Not available,"Completion Time,Energy Consumption,Number of VM Migrations,Performance Degradation due to Migration (PDM),Resource Utilization,SLA Violation (SLAV),SLA Violation Time per Active Host (SLATAH)","Completion Time,Energy Consumption,Number of VM Migrations,Resource Utilization,SLA Violation (SLAV),SLA Violation Time per Active Host (SLATAH)",VMs are selected individually,VMS + VMP,60
Markov Prediction Model for Host Load Detection and VM Placement in Live Migration,"SUHIB BANI MELHEM, ANJALI AGARWAL, NISHITH GOEL, MARZIA ZAMAN",IEEE Access,VM live migration; host overload/underload detection; VM placement; CloudSim,Static Threshold + Prediction Model (MkC),CPU,Maximum Correlation (MC) + Minimum Migration Time (MMT) + Maximum Utilization (MaxU) + Random Selection (RS),"CPU, RAM, Bandwidth",Heuristic (MkPABFD),"CPU, Power Consumption",Simulation,CloudSim,"{
 ""Number of PMs"": [800, 50],
 ""Number of PM Types"": 2,
 ""Distribution of PMs"": ""Available"",
 ""Number of CPU Cores"": [2],
 ""Frequency of CPU (in MIPS)"": [1860, 2660],
 ""Amount of RAM (in GB)"": -1,
 ""Amount of Storage (in GB)"": -1,
 ""Amount of Bandwidth (in Gbps)"": -1
 }","{
 ""Number of VMs"": [1052, 1516, 1463, 1033, 50],
 ""Number of VM Types"": 4,
 ""Distribution of VMs"": -1,
 ""Number of CPU Cores"": [1],
 ""Frequency of CPU (in MIPS)"": [500, 1000, 2000, 2500],
 ""Amount of RAM (in MB)"": [850, 1700, 3750, 633],
 ""Amount of Storage (in GB)"": -1,
 ""Amount of Bandwidth (in Mbps)"": -1
 }",Planet Lab + Synthetical,"Average SLA Violation,Energy Consumption,Number of PM Shutdowns,Number of VM Migrations,Overall SLA Violation,Performance Degradation due to Migration (PDM),SLA Violation (SLAV),SLA Violation Time per Active Host (SLATAH)","Number of PM Shutdowns,Number of VM Migrations,Performance Degradation due to Migration (PDM),SLA Violation (SLAV),SLA Violation Time per Active Host (SLATAH)",VMs are selected individually,PMC + VMP,61
Energy-aware resource utilization based on particle swarm optimization and artificial bee colony algorithms in cloud computing,Jafar Meshkati; Faramarz Safi-Esfahani,The Journal of Supercomputing,Green computing; Energy-aware scheduling; Hybrid metaheuristic algorithms; ABC algorithm; PSO algorithm,Static Threshold,"CPU, RAM, Energy Consumption",Not Available,Not Available,Metaheuristic (ABC + PSO),"Power Consumption, Execution Time",Simulation,CloudSim,"{
 ""Number of PMs"": [800],
 ""Number of PM Types"": 2,
 ""Distribution of PMs"": -1,
 ""Number of CPU Cores"": [24, 8],
 ""Frequency of CPU (in MIPS)"": [10000],
 ""Amount of RAM (in GB)"": [50],
 ""Amount of Storage (in GB)"": [1000],
 ""Amount of Bandwidth (in Gbps)"": [10]
 }","{
 ""Number of VMs"": [100, 200, 300, 400, 500, 600],
 ""Number of VM Types"": 2,
 ""Distribution of VMs"": -1,
 ""Number of CPU Cores"": [2],
 ""Frequency of CPU (in MIPS)"": [1000, 5000],
 ""Amount of RAM (in MB)"": [4000],
 ""Amount of Storage (in GB)"": [200],
 ""Amount of Bandwidth (in Mbps)"": [1000]
 }",Planet Lab,"Computational Energy,Energy Consumption,Execution Time,Number of VM Migrations,Overall SLA Violation","Energy Consumption,Number of VM Migrations,Overall SLA Violation",Not Available,VMP,62
Energy-Efficient and SLA-Aware Virtual Machine Selection Algorithm for Dynamic Resource Allocation in Cloud Data Centers,Seyedhamid Moghaddam; Sareh Piraghaj; Michael Oâ€™Sullivan; Cameron Walker; Charles Unsworth,2018 IEEE/ACM 11th International Conference on Utility and Cloud Computing (UCC),Cloud Computing; Virtual Machine; Load Balancing,Prediction Model (LR),CPU,Pearson Correlation of CPU Usage (PCC) + CPU Usage Proportion to Host (CUPH),CPU,Heuristic (PABFD),"CPU, Power Consumption",Simulation,CloudSim,"{
 ""Number of PMs"": [800, 50],
 ""Number of PM Types"": 4,
 ""Distribution of PMs"": ""Available"",
 ""Number of CPU Cores"": [2, 32],
 ""Frequency of CPU (in MIPS)"": [1860, 2660, 2500],
 ""Amount of RAM (in GB)"": [4, 32, 64],
 ""Amount of Storage (in GB)"": -1,
 ""Amount of Bandwidth (in Gbps)"": -1
 }","{
 ""Number of VMs"": [1052, 898, 1061, 1516, 1078, 1463, 1358, 1233, 1054, 1033, 798],
 ""Number of VM Types"": 6,
 ""Distribution of VMs"": -1,
 ""Number of CPU Cores"": -1,
 ""Frequency of CPU (in MIPS)"": [500, 1000, 2000, 2500, 1225],
 ""Amount of RAM (in MB)"": [850, 1700, 3750, 630, 1800, 900],
 ""Amount of Storage (in GB)"": -1,
 ""Amount of Bandwidth (in Mbps)"": -1
 }",Planet Lab + Google Cluster Data,"Energy Consumption,Energy-SLA Violation (ESV),Number of Re-Overloaded PMs,Number of VM Migrations,Performance Degradation due to Migration (PDM),SLA Violation (SLAV),SLA Violation Time per Active Host (SLATAH)",Number of Re-Overloaded PMs,VMs are selected individually,VMS,63
Energy-aware adaptive four thresholds technique for optimal virtual machine placement,A. Mohazabiyeh; Khosrow Amirizadeh,International Journal of Electrical and Computer Engineering (IJECE),Adaptive four-threshold; Cloud computing; Dynamic virtualization; Energy efficiency; SLA Agreement,Dynamic Threshold,CPU,Minimum Migration Time (MMT) + Maximum Correlation (MC),"CPU, RAM, Bandwidth",Heuristic (PABFD),"CPU, Power Consumption",Simulation,CloudSim,"{
 ""Number of PMs"": [800],
 ""Number of PM Types"": 2,
 ""Distribution of PMs"": ""Available"",
 ""Number of CPU Cores"": -1,
 ""Frequency of CPU (in MIPS)"": [1860, 2660],
 ""Amount of RAM (in GB)"": [8],
 ""Amount of Storage (in GB)"": [1000],
 ""Amount of Bandwidth (in Gbps)"": [1]
 }","{
 ""Number of VMs"": [1195],
 ""Number of VM Types"": -1,
 ""Distribution of VMs"": -1,
 ""Number of CPU Cores"": [1],
 ""Frequency of CPU (in MIPS)"": [500, 1000, 2000, 2500],
 ""Amount of RAM (in MB)"": [128],
 ""Amount of Storage (in GB)"": [1],
 ""Amount of Bandwidth (in Mbps)"": -1
 }",Not available,"Energy Consumption,Performance Degradation due to Migration (PDM),SLA Violation (SLAV),SLA Violation Time per Active Host (SLATAH)","Energy Consumption,SLA Violation (SLAV)",VMs are selected individually,PMC,64
Quantum virtual machine: power and performance management in virtualized web servers clusters,AndrÃ© Monteiro; Orlando Loques,Cluster Computing,Power-aware computing; Virtualization; Web server clusters; Resource management; Scalability,Static Threshold,CPU,Not Available,Not Available,Exact (MILP) + Heuristic (QVM),"CPU, Maximum Request Capacity per Core",Real,Xen,"{
 ""Number of PMs"": [5],
 ""Number of PM Types"": 5,
 ""Distribution of PMs"": -1,
 ""Number of CPU Cores"": [2, 8, 48, 64],
 ""Frequency of CPU (in MIPS)"": [7000, 8000, 1000],
 ""Amount of RAM (in GB)"": [48, 64],
 ""Amount of Storage (in GB)"": -1,
 ""Amount of Bandwidth (in Gbps)"": -1
 }","{
 ""Number of VMs"": [10, 20, 40, 100],
 ""Number of VM Types"": 1,
 ""Distribution of VMs"": ""Available"",
 ""Number of CPU Cores"": [1],
 ""Frequency of CPU (in MIPS)"": -1,
 ""Amount of RAM (in MB)"": [1000],
 ""Amount of Storage (in GB)"": -1,
 ""Amount of Bandwidth (in Mbps)"": -1
 }",Google Cluster Data,"Energy Consumption,Number of Active Cores,QoS violation (%),Response Time","QoS violation (%),Response Time",Not Available,VMP,65
Dynamic Tuning for Parameter-Based Virtual Machine Placement,Abdelhalik Mosa; Rizos Sakellariou,2018 17th International Symposium on Parallel and Distributed Computing (ISPDC),Cloud computing; resource utilization; virtual machine placement; virtual machine consolidation,Static Threshold,CPU,Minimum Migration Time (MMT),"RAM, Bandwidth",Heuristic (PMBFD),Not Available,Simulation,CloudSim,"{
 ""Number of PMs"": [800],
 ""Number of PM Types"": 2,
 ""Distribution of PMs"": -1,
 ""Number of CPU Cores"": [2],
 ""Frequency of CPU (in MIPS)"": [1860, 2660],
 ""Amount of RAM (in GB)"": -1,
 ""Amount of Storage (in GB)"": -1,
 ""Amount of Bandwidth (in Gbps)"": -1
 }","{
 ""Number of VMs"": [1033],
 ""Number of VM Types"": 4,
 ""Distribution of VMs"": -1,
 ""Number of CPU Cores"": -1,
 ""Frequency of CPU (in MIPS)"": -1,
 ""Amount of RAM (in MB)"": -1,
 ""Amount of Storage (in GB)"": -1,
 ""Amount of Bandwidth (in Mbps)"": -1
 }",Planet Lab,"Energy Consumption,Performance Degradation due to Migration (PDM),SLA Violation (SLAV),SLA Violation Time per Active Host (SLATAH)",,VMs are selected individually,VMP,66
Priority-aware Virtual Machine selection algorithm in dynamic consolidation,Hanan Nadeem; Mai Fadel; Hanan Elazhary,International Journal of Advanced Computer Science and Applications(IJACSA),Cloud computing; energy efficiency; service level agreement; VM consolidation; VM selection,Static Threshold + Prediction Model (LRR),CPU,Priority-aware Minimum Migration Time (PaMMT),"Priority, RAM, Bandwidth",Heuristic (PABFD),"CPU, Power Consumption",Simulation,CloudSim,"{
 ""Number of PMs"": [800],
 ""Number of PM Types"": 2,
 ""Distribution of PMs"": -1,
 ""Number of CPU Cores"": [2],
 ""Frequency of CPU (in MIPS)"": [1860, 2660],
 ""Amount of RAM (in GB)"": [4],
 ""Amount of Storage (in GB)"": -1,
 ""Amount of Bandwidth (in Gbps)"": [1]
 }","{
 ""Number of VMs"": [1052, 898, 1061, 1516, 1078, 1463, 1358, 1233, 1054, 1033],
 ""Number of VM Types"": 4,
 ""Distribution of VMs"": -1,
 ""Number of CPU Cores"": [1],
 ""Frequency of CPU (in MIPS)"": [500, 1000, 2000, 2500],
 ""Amount of RAM (in MB)"": [613, 1700, 850, 3750],
 ""Amount of Storage (in GB)"": -1,
 ""Amount of Bandwidth (in Mbps)"": -1
 }",Planet Lab,"Energy Consumption,Energy-SLA Violation (ESV),Number of VM Migrations,Performance Degradation due to Migration (PDM),SLA Violation (SLAV),SLA Violation Time per Active Host (SLATAH)","Energy Consumption,Energy-SLA Violation (ESV),Number of VM Migrations,Performance Degradation due to Migration (PDM),SLA Violation (SLAV),SLA Violation Time per Active Host (SLATAH)",VMs are selected individually,VMS,67
A stochastic process-based server consolidation approach for dynamic workloads in cloud data centers,Hossein Naeen; Esmaeil Zeinali; Abolfazl Haghighat,The Journal of Supercomputing,Cloud computing; Dynamic server consolidation; Virtual machine placement; Stochastic workload analysis,Static Threshold + Dynamic Threshold + Prediction Model (SVR),CPU,Minimum Migration Time (MMT),"RAM, Bandwidth",Heuristic (SPBFD),"CPU, Probability of Overutilization",Simulation,CloudSim,"{
 ""Number of PMs"": [800],
 ""Number of PM Types"": 2,
 ""Distribution of PMs"": -1,
 ""Number of CPU Cores"": [2],
 ""Frequency of CPU (in MIPS)"": [1860, 2660],
 ""Amount of RAM (in GB)"": [4],
 ""Amount of Storage (in GB)"": -1,
 ""Amount of Bandwidth (in Gbps)"": -1
 }","{
 ""Number of VMs"": [1052, 898, 1061, 1516, 1078],
 ""Number of VM Types"": 4,
 ""Distribution of VMs"": -1,
 ""Number of CPU Cores"": -1,
 ""Frequency of CPU (in MIPS)"": [500, 1000, 2000, 2500],
 ""Amount of RAM (in MB)"": [613, 1700, 3500, 850],
 ""Amount of Storage (in GB)"": -1,
 ""Amount of Bandwidth (in Mbps)"": -1
 }",Planet Lab,"Costs of Energy and Switching and SLA Violation (CESSV),Energy Consumption,Energy-SLA Violation (ESV),Number of PM Reactivations,Number of VM Migrations,Performance Degradation due to Migration (PDM),SLA Violation (SLAV),SLA Violation Time per Active Host (SLATAH)","Costs of Energy and Switching and SLA Violation (CESSV),Energy Consumption,Energy-SLA Violation (ESV),Number of PM Reactivations,Number of VM Migrations,Performance Degradation due to Migration (PDM),SLA Violation (SLAV),SLA Violation Time per Active Host (SLATAH)",VMs are selected individually,PMC + VMP,68
QoS-aware VM placement and migration for hybrid cloud infrastructure,Kamran; Babar Nazir;,The Journal of Supercomputing,Cloud computing; Power management; Quality of service; Virtual machine placement; Server consolidation; Service-level agreement (SLA); Utility computing; VM migration; Energy efficiency; Data center,Static Threshold,CPU,Quality of Service Constraints (QoSC),"CPU, Time Constraints",Heuristic (QoSABFD),"CPU, QoS Requirements",Simulation,CloudSim,"{
 ""Number of PMs"": [400],
 ""Number of PM Types"": 3,
 ""Distribution of PMs"": -1,
 ""Number of CPU Cores"": [1],
 ""Frequency of CPU (in MIPS)"": [1000, 2000, 3000],
 ""Amount of RAM (in GB)"": [8],
 ""Amount of Storage (in GB)"": [1000],
 ""Amount of Bandwidth (in Gbps)"": [100]
 }","{
 ""Number of VMs"": [500],
 ""Number of VM Types"": 4,
 ""Distribution of VMs"": -1,
 ""Number of CPU Cores"": [1],
 ""Frequency of CPU (in MIPS)"": [250, 500, 750, 1000],
 ""Amount of RAM (in MB)"": [128, 256],
 ""Amount of Storage (in GB)"": [2500],
 ""Amount of Bandwidth (in Mbps)"": [2500]
 }",Planet Lab,"Energy Consumption,Number of VM Migrations,Overall SLA Violation","Energy Consumption,Number of VM Migrations",VMs are selected individually,VMS + VMP,69
Virtual Machine Consolidation with Multiple Usage Prediction for Energy-Efficient Cloud Data Centers,Nguyen Hieu; Mario Francesco; Antti Yla-Jaaski,IEEE Transactions on Services Computing,Virtual machine consolidation; virtual machine migration; multiple resource prediction; cloud computing; data centers,Static Threshold + Prediction Model (LR),CPU,Minimum Resource Temperature (MRT),"CPU, RAM",Heuristic (PABFD + MUP) + Prediction Model (LR),"CPU, Power Consumption, RAM",Simulation,CloudSim,"{
 ""Number of PMs"": [800],
 ""Number of PM Types"": 2,
 ""Distribution of PMs"": ""Available"",
 ""Number of CPU Cores"": [2],
 ""Frequency of CPU (in MIPS)"": [1860, 2660],
 ""Amount of RAM (in GB)"": [4],
 ""Amount of Storage (in GB)"": -1,
 ""Amount of Bandwidth (in Gbps)"": [1]
 }","{
 ""Number of VMs"": [1600, 1473],
 ""Number of VM Types"": -1,
 ""Distribution of VMs"": -1,
 ""Number of CPU Cores"": -1,
 ""Frequency of CPU (in MIPS)"": [500, 1000, 2000, 2500],
 ""Amount of RAM (in MB)"": [613, 1740, 870],
 ""Amount of Storage (in GB)"": -1,
 ""Amount of Bandwidth (in Mbps)"": -1
 }",Planet Lab + Google Cluster Data + Synthetical,"Average SLA Violation,Energy Consumption,Number of Active PMs,Number of Cold Spots,Number of Hot Spots,Number of Power State Changes,Number of VM Migrations","Energy Consumption,Number of Active PMs,Number of Cold Spots,Number of Hot Spots,Number of Power State Changes,Number of SLA Violations,Number of VM Migrations",VMs are selected individually,PMC + VMS + VMP,70
